,country,score,topic,review,category,sentiment
0,Singapore,5,Nice,It's helpful for all communication,other,positive
1,United States,3,Chronological Order,PLEASE GO BACK TO CHRONOLOGICAL ORDER ON THE TIMELINE!,requirement,neutral
2,Australia,5,Great time saver,Highly recommend,other,positive
3,South Africa,5,Instagram App of the best I've used,"Works every time, all the time. Easy to use, perfect design. One of the apps I use most!",requirement,positive
4,Singapore,1,No response for multiple photo upload,"After many times I have tried, there still having the same problem, after multiple photo has been selected the app totally has no response..",bug report,neutral
5,United Kingdom,5,Fantastic - beats all other sat navs I have used,"Great, I use it daily and find it great for planning the commute or longer business / leisure trips.",other,positive
6,Australia,4,#feedalgorithmsucks,"Love the filters, hate the non-chronological feed!!",requirement,neutral
7,Canada,1,It's not working,Every time I open the app it says couldn't refresh feed or some thing went wrong and I am connected to wifi so idk what is wrong,bug report,neutral
8,United Kingdom,1,WTF!!!!,"You can't even call this an app, it's the biggest load of sh*te ever and a waste of storage on my phone!!!  Why do we need messenger and Facebook, put them back together please!!!  The latest update is pathetic, it's showing me notifications but when I click on them it shows me nothing, sort of out FB ffs, a big company with a SHAMEFUL app!!! Not good enough!!!
If I could give zero stars I would!!!",bug report,negative
9,United Kingdom,1,Newsfeed,Showing posts from weeks ago and can't get it to show the most recent posts!,bug report,neutral
10,India,5,@chandana,Disgusting,other,negative
11,Canada,1,Timeline is messed,My news feed shows only stuff from 4 days ago. I see maybe 1 new post to 20 from 4 days ago. Stop messing up a good app,bug report,negative
12,South Africa,5,Pictures,You should be able to move your feed around,requirement,neutral
13,Singapore,1,Crash and close on it own,Really Facebook has to do somethings about mobile apps it keeps crash when strolling through videos or new feeds please do something about it!!!,bug report,neutral
14,Australia,5,Thumbs up,Facebook keeps changing things around on it. They should have a few more icon pictures when liking people's posts but overall it's great,requirement,positive
15,Singapore,5,Best mankind invention ever,Wahahahahaha,other,positive
16,United States,5,Long live instagram,I love instagram period,other,positive
17,Singapore,2,Blur pictures,Pictures get blur once it's being uploaded. Fix needs to be done. (Business profile),bug report,neutral
18,Canada,4,Good,Working Good,other,positive
19,India,1,Large size,"Better you develop another app which gives Apple TV features and all. Don't include all in same app and make it large.

Recent updates are bad and not supported with mobile network. Works only with wifi.",bug report,negative
20,Australia,1,Joke,I was banned for 3 months for calling someone a clown,other,negative
21,India,5,Awesome,Amazing experience..!!,other,positive
22,United States,5,Still loving it!,"Wrote previously how it was easy to use and begin a new routine. Still true over a month now. I eat out, don't disrupt my family members' lives and continue to stay on track. Now I'm also appreciating recipes and tips. Really is the best tool for leaving denial behind and going forward!",requirement,positive
23,Canada,1,Gradually uses more and more space,"I have to keep deleting this app since over time it begins to take up more and more space in my phone. It has used 800mb plus, and there is no way it seems to clear this without deleting and reinstalling each time. Very frustrating.",bug report,negative
24,United States,5,Very good,Works great,other,positive
25,United Kingdom,5,Keeps me on the straight and narrow.,I have lost a lot of weight with the encouragement it gives me. When it states I haven't consumed enough would be nice to see more info. Keep up the good work and thank you.,requirement,positive
26,South Africa,5,Instagram,Love it,other,positive
27,Australia,5,Good Apps friendly And free,Go,other,positive
28,Hong Kong,1,backup,Backup D,noise,neutral
29,Australia,1,Latest update,"Sick of being spammed by ads.. I can't browse without 100's of  ads for apps or products clogging up my feed.. please stop it..

Latest update causing crashing and closing app when I'm exploring then I can't find pins I was looking at.
Also doesn't open pages when you try to follow a link ...
 Please fix asap....",bug report,negative
30,India,4,Whtsapp,Superb,other,positive
31,Hong Kong,2,Wifi bug,wifi bug can't use,bug report,neutral
32,United States,1,Don't download,Don't download photos and videos and nothing at all. Change it please!!!!!!,bug report,neutral
33,Canada,4,New feature idea,I think It would be a great idea to add grain to the edit and adjustment section of the app. It will give us a little more variety to as how we would like to edit our photos. Consider it! (:,requirement,neutral
34,India,5,Loved it,Far better than any other social networking sites �,other,positive
35,United States,5,Awesome,Listen everyday and all of my fav jams come on! App works great!,other,positive
36,Australia,1,THE MF ADS,"Omg every 8 posts there's an ad!!!! Seriously I'd pay to never to see an ad again I miss the good old Instagram, simple. Every update they do is making it worse 😡",bug report,negative
37,Canada,1,New update,Won't update on my iPad - says its updating but can't use it & can't even delete app.,bug report,neutral
38,Australia,1,No connections with other boards or people,No like button. And you can't see the boards of other people who also have the same pin. Prevents you from finding similar boards and pins.   Don't recommend this app.  Used to be a great resource. Not anymore.,bug report,negative
39,Australia,4,Simplistic is good,Having simple options makes it easy to share quickly. Also sharing with other social media apps makes it my go to photo sharing base.,requirement,positive
40,Hong Kong,1,,"， iPhone  ,",noise,neutral
41,Canada,5,"Intuitive, easy and motivating",I love the thousands of pre populated food options and the ability to insert a full meal into the calorie counter for frequently used meals.,requirement,positive
42,United States,4,Awesome but...,"I live instagram don't get me wrong but when ever I try to make another account it says ""there was an error please try again later"" or something like that. Then right after it says ""Instagram doesn't allow"" blah blah
""Report us if we have made a mistake"" I waited a week. Is that long enough? Well anyways I can't upload videos for some reason. It gets like half way and then just says ""retry"" no one is gonna see this but if someone does please take this into consideration ☺️",bug report,positive
43,India,1,Issue with update,My whatsapp was not working properly so i updated it bt it turned out yo be useless whatsapp still is not working . Plz solve as soon as possible,bug report,neutral
44,Canada,1,Update,The new Instagram update won't allow me to send any video or pictures to group chats!,bug report,neutral
45,Australia,1,Notifications - rubbish,"Notifications show and then you have to refresh 2-6 times before they may actually show up! 
And - why bother even having a Facebook page for your business anymore when it serves no purpose unless you're prepared to pay a lot of money for ads.",bug report,negative
46,Canada,2,Profile Picture,"When trying to upload profile pictures that are good quality pictures they show up blurry and out of focus. Then when you press save it says ""sorry could not upload at this time try again later"" but then it does upload and is still low quality. Please fix, it's very annoying.",bug report,negative
47,United States,5,Love!,"Waze is my new best friend on a daily basis. Before leaving for work daily, I always check Waze for best routes. I've learned different commutes, saving time, that I never would have considered or attempted. Thank you Waze and Waze users (Wazers).",requirement,positive
48,Hong Kong,1,wts,Siri,noise,neutral
49,Australia,4,Insta,"I love it!!
Like to see automatic post sharing feature 
I wish I could share Flipagrams without copyright related issues due to music content.
I love the photo editing :)",requirement,positive
50,Australia,3,Changes to setting,From the updates I can no longer share with Facebook. Which is sad.,bug report,negative
51,United States,2,Was amazing,I used to LOVE Instagram. The new update killed this app for me. The amount of ads is absolutely insane. It's overload and has killed the fun of the app.,bug report,negative
52,Australia,3,A slight problem,Today I checked my Instagram and found that I have lost 100 followers I don't know why this has happened but I am very upset I love this app and use it everyday but this is not good if you could please fix this it would mean a lot,bug report,negative
53,Hong Kong,2,What's wrong with the comment section design?,CHANGE IT BACK,requirement,negative
54,Singapore,1,Please don't clear notifications,"After updates, once I launch the app, all my IG notifications disappeared, pls revert back. Now it's no meaning to set notifications for those I followed. :(",requirement,negative
55,Canada,5,Totally reccomending this app to my friends,Its amazing i love this app,other,positive
56,United Kingdom,5,A+++,Best sat nav you could possibly need by far.,other,positive
57,Singapore,1,blurry photos,"idk if it's happening to everyone buy everytime i upload mulitple photos, it keeps getting blurry ?!",bug report,neutral
58,Australia,3,Coloured text bubbles,I think instagram should make the text bubbles coloured,requirement,neutral
59,South Africa,4,Waze,"Great app use it daily, especially in traffic management 👍🏿",other,positive
60,Hong Kong,2,page apps,page apps,noise,neutral
61,Canada,5,Facebook App,"Use it everyday, excellent app",other,positive
62,South Africa,1,Pathetic,"With each update the app has more and more glitches. It constantly crashes and realistically becomes a waste of time. Facebook, your social platform is becoming a joke just like your app. The larger updates don't seem to fix your excuse for an app",bug report,negative
63,Hong Kong,1,Inconvenience,"It is very inconvenient that the posts are not allowing the posting time to show. My fds all dislike this and think that this problem is causing them miss out some of the posts.

Moreover, about the adding location problem. It is so headachy that I want to add a location while there don't provide an accurate option for me. Why don't just like before that we can type or create any locations??",requirement,negative
64,United States,5,Awesome Tool,Saved me at least 2 tickets and who knows how time saved by showing the fastest route or if traffic is bad.  Love where I can have a reminder set for when to leave and arrive by a set time.,requirement,positive
65,Canada,3,Crashing,"Every time I refresh my profile, the app crashes! Please fix this, it's very inconvenient.",bug report,negative
66,Canada,3,zoom,i hate how you can't zoom in the photo anymore when you send pictures on dm's,bug report,negative
67,South Africa,5,Excellent app,Loving this app!!,other,positive
68,India,5,Interesting,No experience,other,neutral
69,Canada,5,Best app out there!,Would require a litlle tune up on some vitamines and food details but this app really is amazing!,other,positive
70,Australia,1,Don't like new update,"Don't like the new update, I have an iPhone and for the life of me can not like photos or memes in the comments UNLESS someone has written something WITH said photo or meme...",bug report,negative
71,Australia,5,I like it!,Pretty cool,other,positive
72,Hong Kong,5,�,Thx for help,other,positive
73,India,5,One and only,The best chat app till date.  Hats off,other,positive
74,Hong Kong,1,,,noise,neutral
75,Canada,5,Best Nav App,"Best navigation app out there, I use it for going everywhere - even places I know where I am going for the live updates on traffic and accidents! Honestly awesome!",requirement,positive
76,South Africa,1,What's with the adds?,Used to love this app - adds are really irritating!,bug report,negative
77,South Africa,3,Voice notes crashes App,"I don't know what changed in the App but each time I record a voice note for longer than 50seconds, the App crash! Please fix, I've attempted to record my voice note 4 times now! Gave up and just sent a message...",bug report,neutral
78,India,5,Rest free,"Just pin it up........
Awesome app",other,positive
79,India,1,Monstrous size.,Uninstalling just because of ita size.. you are making it heavy day by day.. reduce it if yiu want a good rating from users.,bug report,negative
80,Canada,4,Not bad,"A lot of improvements, but I wish they kept the like button.",requirement,positive
81,United Kingdom,1,Bugs bugs bugs,"The app keeps crashing regardless, it has been through last few updates. My phone is up to date. See no reason why the app would shut down suddenly regardless of the action I'm taking within.",bug report,neutral
82,Singapore,5,It wonderful,I love everything about it :) . But i hope u come up wif sth better ?,other,positive
83,Australia,5,Awesome but,"I think it awesome,but I think needs a translator when you get messages with different languages would be appreciated to see what friends send me or anyone else. So I can reply to them.",requirement,positive
84,Singapore,5,Fitbit,"Have been using this app since i bought my fitbit charge 2... its good, informative... helps to keep track of my exercises, my sleep and also my daily exercise routines...",requirement,positive
85,Hong Kong,5,good apps,fashion and life style and good apps,other,positive
86,Australia,5,Love It,Facebook allows me to keep in touch with my family and friends on a daily basis. It has completely changed my life and I wouldn't be without it ❣️,other,positive
87,United Kingdom,5,Whatsapp Story Update,"I've used whatsapp for about 5 years now & I love it. 
And since they've brought out this new whatsapp story feature I love it even more. But I think it would make it just a lil better & more fun to use  if they could add filters for us users to use after we take pics just like Snapchat. Now that would be amazing!!",requirement,positive
88,Canada,1,Horrible,This is what happens when management screws up.,other,negative
89,India,5,New Ui,The New ui of app is awesome �,requirement,positive
90,India,4,Document sharing,iCloud doesn't open when we want to share with someone...?,bug report,neutral
91,United Kingdom,5,Fitbit flex 2,This is my first Fitbit and can honestly say I love it,other,positive
92,Australia,1,Like a dogs breakfast,About as good as a communist Christmas,other,negative
93,Canada,5,Nice,🟽,other,positive
94,Hong Kong,4,Likes of posts now not in chronological order,Bug ?,bug report,neutral
95,Canada,1,Please fix!,Comments are not appearing under posts!,bug report,neutral
96,United States,4,"Fun, plus function!","I like the idea...getting better all the time.

I love the interface updates with this version!!

Why'd they take Foursquare integration away? (Safety?)",requirement,positive
97,Canada,5,Love it,"I love my fitbit and they app makes it so much more
Great job",other,positive
98,United States,5,Xếp hạng fb,Good,other,positive
99,United Kingdom,5,Hi,I love sharing photos,requirement,positive
100,Singapore,4,Preview Privacy Issue,Currently settings only allow to set both preview for lock screen and notifications bar at the same time. Preview message should be flexible to set to only to preview on notifications bar instead of lock screen as well.,bug report,neutral
101,Australia,1,Getting worse,"WHY am I seeing things on my newsfeed from people who I am not friends with, have no mutual friends with, and have never heard of in my life? It's telling me that so-and-so is commenting on/liking their own or someone else's post who I also don't know - I don't want to see this! Facebook is already filled with so much useless *#$@. The majority of my newsfeed is just filled up with people liking things from spammy pages - nobody posts anything anymore. There's probably a good reason for that.

And what have you done with the setting to see most recent news instead of top stories?! Sick of seeing things from literally a week ago. Useless app",bug report,negative
102,United States,5,Instagram,I like Instagram because you can post stuff and save stuff that you don't want other ppl to see and that you can message ppl and talk.,requirement,positive
103,Canada,2,,It kept popping up asking me to rate,other,neutral
104,India,2,Its closing unexpectedly. Pls fix,Pls fix,bug report,neutral
105,Canada,5,Litttttt⚡️,omg is so magical,other,positive
106,Canada,1,Horrible,"Put things back to the way they were before, stop filling my phone with useless updates.",requirement,negative
107,Singapore,5,Ipad version for Facebook,"Great app, and pls make it more like desktop",requirement,positive
108,Singapore,1,Super Lousy FB,Super lousy FB for anyhow locked my account and request for photo for verification and then no response. And best no customer service to help fix the problem. Only some q n a that are totally not helpful!,bug report,negative
109,Singapore,1,Couldn't set up,Couldn't see the list of trackers while doing the initial setting up. Pls do something abt it.,bug report,neutral
110,Australia,3,CHRONOLOGICAL ORDER,INSTAGRAM NEEDS TO GO BACK TO CHRONOLOGICAL ORDER!!! IM SICK OF LOOKIN LIKE A STALKER LIKER A POST FROM 5 DAYS AGO!!!,requirement,negative
111,United States,2,criticizing,"when I want to like a page, the app will be closed",bug report,negative
112,Canada,5,Great,And incredible array of informative topics. Search on any topic and somebody has some super insight into that topic!,requirement,positive
113,Hong Kong,4,,WhatsApp,noise,neutral
114,Singapore,5,Lost without u,100% best road companion. Waze will be perfect if it can also indicate the lanes to take. That could eliminate a lot of last min turnings.,requirement,positive
115,Australia,4,Works for me,I am enjoying using this app and it clearly makes me more conscious of what I eat and drink. Also happy with the link to my Fitbit.,requirement,positive
116,India,5,Best,This is the best way to connect with the people,other,positive
117,India,1,Very sluggish app..,"Very sluggish app even on iPhone 7, just learn from your owned app Instagram.",bug report,negative
118,Australia,5,Brilliant,Easy and great to use,requirement,positive
119,India,2,Not at satisfied,"App is automatically closing while using please resolve this issue 
Thanks",bug report,neutral
120,Singapore,1,Facebook,"I Can't Open My Albums Now

The Cursor Keeps Going Round & Round

It Happened Since Yesterday - Saturday 3rd June Till Today 4th June.

I Have Been Trying For 2 Days",bug report,neutral
121,India,1,Bad,Badly crashing,bug report,negative
122,Singapore,2,Quality of pictures,Resolution of the pictures on whatsapp are horrible!,bug report,negative
123,Australia,4,.,I like it. Pretty good.,other,positive
124,Australia,4,Great - with room for improvement,"Really love my Fitbit app. Easy to use, easy to set up. Excellent features and compatibility with other apps.

However - would like to see compatibility with a cycle tracking app for women",requirement,positive
125,United States,4,Love.,Only reason I'm giving Insta 4 stars vs 5 is because they copied Snapchats entire existence. Shame.,other,positive
126,Hong Kong,1,Post ( tag tag),"1) Post 
2) tag ' post' ， ， 1 post ' ' 

 !  ! !",noise,neutral
127,United Kingdom,3,Great app but not syncing with my Fitbit,When will this be sorted! Iv tried several things but no luck. It will not sync my Fitbit steps to work out my extra calories.,bug report,positive
128,United States,5,Great app,Amazing,other,positive
129,United States,5,Love,Love love love Pinterest.,other,positive
